,N2,N5,N6,N7,N8,N9,N10,N11,N12,M1,M13,M3,M4,M5,M6,M7,M8,M10,M11,DH1,DH2,DH3,DH4,DH5,DH6,DH7,DH8,DH9,DH10,DH11,DH12
N2,0,0.0888877788998897,0.0727002206716484,0.0766810747761869,0.0519556192316196,0.0318792872601882,0.0418934389519787,0.077824695712867,0.0512421946735991,0.637360422588725,0.605784230371357,0.569155820900376,0.466290362289246,0.554483582195303,0.675957550022073,0.529170425343949,0.70393573325558,0.393140666692736,0.548596504271695,0.627646892973947,0.508338840225849,0.631543265391377,0.502512171349923,0.489626669518166,0.587032986195284,0.508309325654977,0.603530900496348,0.541481043079837,0.398781042717566,0.537786115921381,0.472180956862244
N5,0.0888877788998897,0,0.02951622717664,0.114594058156105,0.127485884883964,0.099978651896045,0.115748280906099,0.166105727102888,0.139520117783919,0.575672075541446,0.522684619518964,0.486114876357555,0.387094357450908,0.47101886615201,0.613686928365069,0.466658545498084,0.643422717185295,0.309233827176462,0.485525223335185,0.566326449358913,0.425179203620936,0.570347828596553,0.420406680693733,0.408700108154473,0.523919764984419,0.444797498673047,0.542715275590803,0.457753628023145,0.316584240140684,0.454903328445484,0.390276970734148
N6,0.0727002206716484,0.02951622717664,0,0.0982571672658223,0.109884217015402,0.0792428335389722,0.0980555000760164,0.148920239429954,0.122226915494118,0.599506280666745,0.538363262759841,0.500171105949311,0.406003015323259,0.485744144295254,0.636690531867075,0.490719839039397,0.660041107316283,0.322394613974662,0.510306060239519,0.590159120954956,0.436484741150081,0.593922355853923,0.433046700116697,0.420127749474442,0.548742438083413,0.463531915231325,0.563810358331011,0.469991511996896,0.329327100046679,0.472493874060888,0.403950269713608
N7,0.0766810747761869,0.114594058156105,0.0982571672658223,0,0.0938370060598681,0.0824660658064758,0.0406194555220693,0.0999028197704551,0.0829226742975593,0.607879087009278,0.62333177227134,0.58680810315136,0.469941126110866,0.573387195574791,0.643723008163714,0.507582721824531,0.666939985477126,0.411669289795644,0.537496784624161,0.569646239898709,0.527611347168996,0.597413844905261,0.512795818138157,0.508016104762591,0.573775468428642,0.498725982474964,0.563372345324404,0.559844571528024,0.410744521745256,0.555165441087099,0.482398105660196
N8,0.0519556192316196,0.127485884883964,0.109884217015402,0.0938370060598681,0,0.0315764113920007,0.0578088310206585,0.0524907394262744,0.0490783610554615,0.670639570008575,0.628653443335482,0.591780927367156,0.483401874576519,0.580955242558996,0.709512971323248,0.556204607244095,0.737144295664782,0.41714938765629,0.578426074769739,0.655207745862388,0.532327779634155,0.659385052175193,0.52147690764559,0.517074451495722,0.614644402473126,0.541011147282377,0.630109364508186,0.565134538267373,0.420409729323586,0.559890456025596,0.492566724159833
N9,0.0318792872601882,0.099978651896045,0.0792428335389722,0.0824660658064758,0.0315764113920007,0,0.0454452687815066,0.0720984212551887,0.0462695010565431,0.660854636309835,0.609442356795348,0.572537908732463,0.474208047888343,0.558596279115557,0.699700084025949,0.551406040757116,0.727379997201078,0.399138820779585,0.570878465624781,0.650087974519529,0.513072275595512,0.654062659840303,0.501820865915471,0.493170617618357,0.609361339007007,0.532010057463698,0.624944803234993,0.546746703415822,0.399722449567923,0.541883369266557,0.474047394697053
N10,0.0418934389519787,0.115748280906099,0.0980555000760164,0.0406194555220693,0.0578088310206585,0.0454452687815066,0,0.0663394951630227,0.0518194474500609,0.616286781053076,0.623720742008869,0.586903617076119,0.472160249683476,0.574207693796962,0.655211935364129,0.513390107296976,0.682768534902287,0.41436251416721,0.543479306863307,0.605818855543403,0.528479262451529,0.610152943066961,0.513862348918869,0.507739106669465,0.578961280602916,0.499271562492198,0.581576360151408,0.562068763403615,0.41211819091786,0.557161503495969,0.484566816362699
N11,0.077824695712867,0.166105727102888,0.148920239429954,0.0999028197704551,0.0524907394262744,0.0720984212551887,0.0663394951630227,0,0.0646538367847769,0.674468381234838,0.679088688310858,0.642487015410871,0.527320479826363,0.62948569764337,0.71289030212292,0.566026889028697,0.74085911625583,0.468925271575824,0.591486348294416,0.664461712850542,0.583778570235514,0.66878003852363,0.569151326254047,0.56289162394572,0.627540612470182,0.556729801801902,0.640809760540938,0.616739825285238,0.466497235074285,0.611769589434062,0.53922422433027
N12,0.0512421946735991,0.139520117783919,0.122226915494118,0.0829226742975593,0.0490783610554615,0.0462695010565431,0.0518194474500609,0.0646538367847769,0,0.648806247383916,0.628582678553373,0.595193584041976,0.494926912002313,0.599223250082099,0.687801996578352,0.514412646555496,0.716003683275632,0.424630391141573,0.557084985449926,0.628701633503955,0.53954731119875,0.617164004076406,0.538266659722631,0.534742695825415,0.589694079367317,0.541826969011667,0.61839276622753,0.575079749823536,0.43877943117882,0.575802270093982,0.5096377025737
M1,0.637360422588725,0.575672075541446,0.599506280666745,0.607879087009278,0.670639570008575,0.660854636309835,0.616286781053076,0.674468381234838,0.648806247383916,0,0.135426951521507,0.139159754185453,0.211472758660738,0.147945428876788,0.0431770868755086,0.228231689960851,0.102317452882947,0.312842662220027,0.233993620002609,0.165066215963047,0.224298789420179,0.0817369756141543,0.195418000728406,0.201866105001523,0.138492226195621,0.196565781572419,0.0651161594633541,0.203003904988207,0.292286556855954,0.196311167524139,0.224029542135231
M13,0.605784230371357,0.522684619518964,0.538363262759841,0.62333177227134,0.628653443335482,0.609442356795348,0.623720742008869,0.679088688310858,0.628582678553373,0.135426951521507,0,0.0383531950737534,0.171632031084347,0.0538366215049168,0.161196746945577,0.251661030881268,0.212728841628018,0.229284993393567,0.268142389655872,0.22234963528207,0.117331831384468,0.0996159070706169,0.136385636651084,0.126558389772874,0.146865603393202,0.192580512043604,0.10195648478757,0.102026969441092,0.223729937804164,0.094727646755963,0.157848623159508
M3,0.569155820900376,0.486114876357555,0.500171105949311,0.58680810315136,0.591780927367156,0.572537908732463,0.586903617076119,0.642487015410871,0.595193584041976,0.139159754185453,0.0383531950737534,0,0.148349765435855,0.0407128332952275,0.176729880346977,0.234385140044362,0.218656291179235,0.207390554686557,0.247745049056539,0.194056084360628,0.0941386360917345,0.113537926987482,0.10873794224983,0.0916504450526535,0.126455992250593,0.160677582413513,0.103064430995826,0.0783965533472641,0.196001199403186,0.0855083906385714,0.122005595708128
M4,0.466290362289246,0.387094357450908,0.406003015323259,0.469941126110866,0.483401874576519,0.474208047888343,0.472160249683476,0.527320479826363,0.494926912002313,0.211472758660738,0.171632031084347,0.148349765435855,0,0.12407330038122,0.251969426013415,0.125626826944662,0.306738864464382,0.103452243785851,0.144689621124878,0.20329879643864,0.0796514966586555,0.200626535809105,0.057146681333855,0.0711100160893879,0.153899152456473,0.0773688048133861,0.19408081581208,0.111803343911648,0.0988370247360413,0.105911131962145,0.0388976122887808
M5,0.554483582195303,0.47101886615201,0.485744144295254,0.573387195574791,0.580955242558996,0.558596279115557,0.574207693796962,0.62948569764337,0.599223250082099,0.147945428876788,0.0538366215049168,0.0407128332952275,0.12407330038122,0,0.186811766519981,0.223737226513269,0.24101379832387,0.192837118677462,0.220022030045727,0.1803549653967,0.0783185080212493,0.137789227171649,0.086110635971205,0.0750417018036315,0.114792716872905,0.139671161448741,0.129959301981356,0.0604033957302041,0.17176829162685,0.0529909643633576,0.105104426173812
M6,0.675957550022073,0.613686928365069,0.636690531867075,0.643723008163714,0.709512971323248,0.699700084025949,0.655211935364129,0.71289030212292,0.687801996578352,0.0431770868755086,0.161196746945577,0.176729880346977,0.251969426013415,0.186811766519981,0,0.267931933619438,0.0593090125806583,0.351686575078139,0.273843437520025,0.177484525309945,0.261879921328202,0.110485625037893,0.232992651921073,0.239449870696302,0.178454260476263,0.234116540136028,0.0888384079315076,0.240589324159106,0.33064577883321,0.236390215589824,0.261605406804133
M7,0.529170425343949,0.466658545498084,0.490719839039397,0.507582721824531,0.556204607244095,0.551406040757116,0.513390107296976,0.566026889028697,0.514412646555496,0.228231689960851,0.251661030881268,0.234385140044362,0.125626826944662,0.223737226513269,0.267931933619438,0,0.327027249782906,0.179466368465907,0.0602030711590139,0.214244416480553,0.17422807771703,0.169051825538056,0.165961580704128,0.178380745210288,0.122886146272029,0.157464517425941,0.247966107821787,0.209874698172314,0.183590929936461,0.187596327121085,0.151281137988004
M8,0.70393573325558,0.643422717185295,0.660041107316283,0.666939985477126,0.737144295664782,0.727379997201078,0.682768534902287,0.74085911625583,0.716003683275632,0.102317452882947,0.212728841628018,0.218656291179235,0.306738864464382,0.24101379832387,0.0593090125806583,0.327027249782906,0,0.404511096238452,0.332949703150762,0.215634144494959,0.306098017681156,0.167580573854746,0.284478137726792,0.275178099219878,0.237564093963007,0.282321976814845,0.119594713352977,0.284818618811126,0.377978251457076,0.292734321472933,0.303497480372368
M10,0.393140666692736,0.309233827176462,0.322394613974662,0.411669289795644,0.41714938765629,0.399138820779585,0.41436251416721,0.468925271575824,0.424630391141573,0.312842662220027,0.229284993393567,0.207390554686557,0.103452243785851,0.192837118677462,0.351686575078139,0.179466368465907,0.404511096238452,0,0.212724765357377,0.298270080482067,0.138514771945525,0.283168940926336,0.138337021646844,0.144986965261333,0.245444053902312,0.177375633863301,0.29055706412883,0.173058813285779,0.0486143514267555,0.166412577650708,0.120092545559029
M11,0.548596504271695,0.485525223335185,0.510306060239519,0.537496784624161,0.578426074769739,0.570878465624781,0.543479306863307,0.591486348294416,0.557084985449926,0.233993620002609,0.268142389655872,0.247745049056539,0.144689621124878,0.220022030045727,0.273843437520025,0.0602030711590139,0.332949703150762,0.212724765357377,0,0.227435171574245,0.18491324493371,0.202431699247612,0.162692544411617,0.183539011168409,0.125152752256069,0.152523965113996,0.259567557740881,0.215363975755837,0.201776297253953,0.187720135353874,0.161007833577583
DH1,0.627646892973947,0.566326449358913,0.590159120954956,0.569646239898709,0.655207745862388,0.650087974519529,0.605818855543403,0.664461712850542,0.628701633503955,0.165066215963047,0.22234963528207,0.194056084360628,0.20329879643864,0.1803549653967,0.177484525309945,0.214244416480553,0.215634144494959,0.298270080482067,0.227435171574245,0,0.204456276649374,0.160147382102631,0.18440502991895,0.192464359479465,0.152705747868274,0.187086214685427,0.176730605889111,0.188208188742756,0.284784779173993,0.183526808474325,0.212152307174003
DH2,0.508338840225849,0.425179203620936,0.436484741150081,0.527611347168996,0.532327779634155,0.513072275595512,0.528479262451529,0.583778570235514,0.53954731119875,0.224298789420179,0.117331831384468,0.0941386360917345,0.0796514966586555,0.0783185080212493,0.261879921328202,0.17422807771703,0.306098017681156,0.138514771945525,0.18491324493371,0.204456276649374,0,0.201137859759311,0.0505486268391387,0.0487966611665225,0.163683287030656,0.0980463432069842,0.192421224898926,0.0400565341478045,0.122997834133209,0.0484648374487359,0.0548131850808223
DH3,0.631543265391377,0.570347828596553,0.593922355853923,0.597413844905261,0.659385052175193,0.654062659840303,0.610152943066961,0.66878003852363,0.617164004076406,0.0817369756141543,0.0996159070706169,0.113537926987482,0.200626535809105,0.137789227171649,0.110485625037893,0.169051825538056,0.167580573854746,0.283168940926336,0.202431699247612,0.160147382102631,0.201137859759311,0,0.186023118911162,0.195632615330088,0.091346631220022,0.191172901301071,0.0807614602977561,0.182273135437564,0.288931183654285,0.167333271951917,0.215536958974394
DH4,0.502512171349923,0.420406680693733,0.433046700116697,0.512795818138157,0.52147690764559,0.501820865915471,0.513862348918869,0.569151326254047,0.538266659722631,0.195418000728406,0.136385636651084,0.10873794224983,0.057146681333855,0.086110635971205,0.232992651921073,0.165961580704128,0.284478137726792,0.138337021646844,0.162692544411617,0.18440502991895,0.0505486268391387,0.186023118911162,0,0.0407759124627043,0.140490118101348,0.0703070976742008,0.174807512095285,0.0743413786848385,0.123433078234451,0.0719562539810239,0.0492383702683031
DH5,0.489626669518166,0.408700108154473,0.420127749474442,0.508016104762591,0.517074451495722,0.493170617618357,0.507739106669465,0.56289162394572,0.534742695825415,0.201866105001523,0.126558389772874,0.0916504450526535,0.0711100160893879,0.0750417018036315,0.239449870696302,0.178380745210288,0.275178099219878,0.144986965261333,0.183539011168409,0.192464359479465,0.0487966611665225,0.195632615330088,0.0407759124627043,0,0.150545987007512,0.0970014655310865,0.169008209885652,0.0632954917911355,0.113714624900188,0.0631603246396213,0.0400118339132907
DH6,0.587032986195284,0.523919764984419,0.548742438083413,0.573775468428642,0.614644402473126,0.609361339007007,0.578961280602916,0.627540612470182,0.589694079367317,0.138492226195621,0.146865603393202,0.126455992250593,0.153899152456473,0.114792716872905,0.178454260476263,0.122886146272029,0.237564093963007,0.245444053902312,0.125152752256069,0.152705747868274,0.163683287030656,0.091346631220022,0.140490118101348,0.150545987007512,0,0.14773454533543,0.137138054689647,0.141896414344619,0.241788725553671,0.122063152461695,0.169832783907479
DH7,0.508309325654977,0.444797498673047,0.463531915231325,0.498725982474964,0.541011147282377,0.532010057463698,0.499271562492198,0.556729801801902,0.541826969011667,0.196565781572419,0.192580512043604,0.160677582413513,0.0773688048133861,0.139671161448741,0.234116540136028,0.157464517425941,0.282321976814845,0.177375633863301,0.152523965113996,0.187086214685427,0.0980463432069842,0.191172901301071,0.0703070976742008,0.0970014655310865,0.14773454533543,0,0.175408930676161,0.121116668245681,0.155861697378063,0.124031209977862,0.0778918726756209
DH8,0.603530900496348,0.542715275590803,0.563810358331011,0.563372345324404,0.630109364508186,0.624944803234993,0.581576360151408,0.640809760540938,0.61839276622753,0.0651161594633541,0.10195648478757,0.103064430995826,0.19408081581208,0.129959301981356,0.0888384079315076,0.247966107821787,0.119594713352977,0.29055706412883,0.259567557740881,0.176730605889111,0.192421224898926,0.0807614602977561,0.174807512095285,0.169008209885652,0.137138054689647,0.175408930676161,0,0.170563947882473,0.271628497603803,0.174334590093913,0.194593724253165
DH9,0.541481043079837,0.457753628023145,0.469991511996896,0.559844571528024,0.565134538267373,0.546746703415822,0.562068763403615,0.616739825285238,0.575079749823536,0.203003904988207,0.102026969441092,0.0783965533472641,0.111803343911648,0.0604033957302041,0.240589324159106,0.209874698172314,0.284818618811126,0.173058813285779,0.215363975755837,0.188208188742756,0.0400565341478045,0.182273135437564,0.0743413786848385,0.0632954917911355,0.141896414344619,0.121116668245681,0.170563947882473,0,0.154617966342808,0.0390101750579151,0.0833453959048105
DH10,0.398781042717566,0.316584240140684,0.329327100046679,0.410744521745256,0.420409729323586,0.399722449567923,0.41211819091786,0.466497235074285,0.43877943117882,0.292286556855954,0.223729937804164,0.196001199403186,0.0988370247360413,0.17176829162685,0.33064577883321,0.183590929936461,0.377978251457076,0.0486143514267555,0.201776297253953,0.284784779173993,0.122997834133209,0.288931183654285,0.123433078234451,0.113714624900188,0.241788725553671,0.155861697378063,0.271628497603803,0.154617966342808,0,0.155703350119531,0.0872727915351996
DH11,0.537786115921381,0.454903328445484,0.472493874060888,0.555165441087099,0.559890456025596,0.541883369266557,0.557161503495969,0.611769589434062,0.575802270093982,0.196311167524139,0.094727646755963,0.0855083906385714,0.105911131962145,0.0529909643633576,0.236390215589824,0.187596327121085,0.292734321472933,0.166412577650708,0.187720135353874,0.183526808474325,0.0484648374487359,0.167333271951917,0.0719562539810239,0.0631603246396213,0.122063152461695,0.124031209977862,0.174334590093913,0.0390101750579151,0.155703350119531,0,0.0892437854639305
DH12,0.472180956862244,0.390276970734148,0.403950269713608,0.482398105660196,0.492566724159833,0.474047394697053,0.484566816362699,0.53922422433027,0.5096377025737,0.224029542135231,0.157848623159508,0.122005595708128,0.0388976122887808,0.105104426173812,0.261605406804133,0.151281137988004,0.303497480372368,0.120092545559029,0.161007833577583,0.212152307174003,0.0548131850808223,0.215536958974394,0.0492383702683031,0.0400118339132907,0.169832783907479,0.0778918726756209,0.194593724253165,0.0833453959048105,0.0872727915351996,0.0892437854639305,0
